번호,제목,글쓴이,작성일,조회,추천,링크,본문,갤러리,날짜,닉네임,IP,상세날짜,댓글
8661280,솔직히 여자연예인 패는 게 존나 재밌지,ㅇㅇ(211.234),2025-04-07,55.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8661280&search_pos=-8610386&s_type=search_subject_memo&s_keyword=사주&page=4,"그래서 사람들이 여연 사건 터지면 우르르  화력 안 식는 거임
보적보 사주가 따로 있는 게 아님",,,,,,
11334661,금수용신들에게 일침을 날리는 글 덧글중 굉장히 공감했던것.,ㅇㅇ(39.7),2019-08-09,6134.0,225.0,https://gall.dcinside.com/board/view/?id=divination&no=11334661&search_pos=-11305549&s_type=search_subject_memo&s_keyword=사주&page=18,"너무 공감돼서 이렇게 손수 캡쳐해왔다
특히 첫번째 캡쳐 보고 그동안 몇년동안
마음고생하고 힘들었던 기억들이 눈앞에 스쳐지나가는것
같아서 눈물날것 같더라.
내 의사와 상관없이 직장 잃어도 보고
소송도 하고
커리어 다 말아먹어서 늦은 나이에 새시작했고
뒷통수도 맞아보고 쌍욕도 먹고
구설수에도 오르고
평생 후회되는 일도 여럿 있었고...
그래서 사주라는걸 믿고 맹신하게됐는데
나같은 사람들 많을거야.
지금은 기신세운 벗어나서,
날 행복하게 하는 이벤트는 생기진 않았지만,
그래도 날 괴롭게 하거나, 무언가가 갑자기
단절되는 사건도 없고 그냥 무난하고 고요한 상태야.
첫번째 캡쳐와 같이,
금수용신들이 금수운 얘기하는게
누군가에겐 한심해보이고 사이비같아보일진 몰라도
그들에게는 작은 희망이자 살아가게 하는 힘이다.
진짜 진심으로 임신월 되자마자
모든게 정반대로 뒤바뀐다고 믿는 사람은 아무도 없어.
시험 합격하고, 알바 합격하고, 공부 잘되고.
마음가짐 편안해지고.
이런 소소한 변화에도 행복을 느끼는 금수용신들인데
그것마저 고깝다고 초치는 너네들은
진짜 인간성 못됐다고 본다...
남이 작은 희망을 느끼고 작은 행복부터 찾아가는게
그렇게 고깝니?
남의 불행이 너네의 행복이야?
마음좀 그렇게 쓰지마",,,,,,
13985290,사주좀 본다 하는분들 여기여기 모여라!,ㅇㅇ(175.223),2020-06-15,70.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=13985290&search_pos=-13945549&s_type=search_subject_memo&s_keyword=사주&page=6,"제 사주입니다. 인생 날로 먹을 수 있나요?
- dc official App",,,,,,
16869495,대운바뀌는거 만세력에서는 2020년인데 만나이로,ㅇㅇ(112.151),2021-07-07,181.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=16869495&search_pos=-16815549&s_type=search_subject_memo&s_keyword=만세력&page=1,봐야하나? 2년 더 플러스 되야하는거야 ㅠ?,,,,,,
15425483,좃같은 단식충들 사주가 궁금함,ㅇㅇ(223.38),2020-12-16,30.0,1.0,https://gall.dcinside.com/board/view/?id=divination&no=15425483&search_pos=-15385549&s_type=search_subject_memo&s_keyword=사주&page=11,일반화 전나시킴,,,,,,
9687846,나몸두외롭고ㅜ갑신남이랑ㅅ ㅅ궁합 어떨까ㅜ,꼬부기(116.121),2019-01-02,222.0,0.0,https://gall.dcinside.com/board/view/?id=divination&no=9687846&search_pos=-9655549&s_type=search_subject_memo&s_keyword=궁합&page=1,"위나 밑갑신
자식궁이 천간지지암합이라 ㅅㅅ궁합은 나쁘지않으려나",,,,,,
8804802,계수에 정병 많다던데 계사도 정병이야?,ㅇㅇ(118.235),2025-05-03,255.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=8804802&search_pos=-8760386&s_type=search_subject_memo&s_keyword=사주&page=21,사주 입문했어,,,,,,
6864734,사주 팩폭 ㄱㄱ,역갤러(118.235),2024-07-15,134.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=6864734&search_pos=-6830386&s_type=search_subject_memo&s_keyword=사주&page=18,"여자야., 심심하다 세게 말 해도 ㄱㅊ",,,,,,
14076084,목포철학관차린다는애는 동업자사주는 봤나몰러,ㅇㅇ(58.148),2020-06-27,45.0,1.0,https://gall.dcinside.com/board/view/?id=divination&no=14076084&search_pos=-14035549&s_type=search_subject_memo&s_keyword=사주&page=6,"동업자 사주가아니라도
호적등본이 전라도면 국룰이제",,,,,,
3460038,사주 생초보가 일간 일주로 사람 평하는거는 그려려니 하는데,ㅇㅇ(86.106),2023-01-15,26.0,0.0,https://gall.dcinside.com/board/view/?id=divination_new1&no=3460038&search_pos=-3450386&s_type=search_subject_memo&s_keyword=사주&page=21,사주 전체 특징을 한참 말하다가 다음날에 다시 일간으로 사람 까는 놈들은 뭐냐 그거지 정신병자인가 원래 그게 정상인건가,,,,,,
